Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2334.8,1223,1438.3,0.843,1063,30,0.92,0.5
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2365.4,1219,1438.3,0.852,1063,27,0.899,0.502
0,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,1,3,1444.0,0,1468.4,1.005,1207,32,0.629,0.0
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2465.9,1216,1438.3,0.84,1069,32,0.928,0.504
1,54,F,3,Uneducated,Married,Unknown,Blue,42,5,1,2,1443.2,0,1438.3,0.987,700,19,0.903,0.0
1,45,M,3,Graduate,Married,$60K - $80K,Blue,36,4,3,3,1438.3,5,1469.3,0.565,699,13,0.494,0.0
1,49,F,2,Graduate,Single,Less than $40K,Blue,36,2,3,3,1438.3,0,1438.3,0.514,658,14,0.452,0.0
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3316.9,0,3406.2,2.551,1886,24,2.366,0.0
1,54,F,3,Uneducated,Married,Unknown,Blue,42,5,1,2,1438.3,0,1463.7,1.017,708,22,0.863,0.0
0,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34198.0,2262,32672.8,1.975,1331,35,0.739,0.067
1,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,2239.4,0,2123.9,0.422,694,20,0.596,0.0
1,52,F,2,Graduate,Married,Less than $40K,Blue,44,3,3,3,1448.2,0,1480.8,0.453,650,13,0.403,0.0
0,42,F,3,Uneducated,Married,Less than $40K,Blue,32,5,3,2,2315.4,0,2466.2,0.649,969,22,0.361,0.0
0,41,M,3,Uneducated,Married,$80K - $120K,Blue,36,4,4,1,4304.7,1669,2575.4,1.573,1537,26,0.547,0.384
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3287.5,2516,1438.3,1.381,1170,17,2.3,0.763
0,49,M,3,Graduate,Married,$80K - $120K,Blue,36,5,1,3,11498.2,1672,10077.6,1.504,1440,28,0.877,0.145
1,58,F,2,High School,Single,Less than $40K,Blue,48,3,3,4,1455.9,0,1445.8,0.484,684,19,0.394,0.0
0,54,M,1,Doctorate,Married,$60K - $80K,Blue,40,2,3,3,8723.2,1403,7064.4,1.318,1316,32,1.404,0.161
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,3,0,22768.3,0,22051.8,1.104,880,17,0.715,0.0
0,43,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,1438.3,967,1438.3,1.748,1058,26,0.349,0.696
0,42,M,4,College,Married,$80K - $120K,Blue,31,3,3,2,8300.3,1934,6571.6,0.641,1202,25,0.921,0.233
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8310.7,861,7472.4,1.549,1294,31,3.625,0.107
0,44,F,3,Graduate,Single,Less than $40K,Blue,36,4,2,2,3377.6,1925,1438.3,0.868,1168,33,2.315,0.577
0,42,M,3,Graduate,Married,$40K - $60K,Blue,36,3,1,2,3971.6,1244,2805.6,1.399,1085,25,0.851,0.316
1,58,F,2,High School,Single,Less than $40K,Blue,48,3,3,4,1438.3,0,1438.3,0.486,681,18,0.397,0.0
0,49,M,3,College,Married,$80K - $120K,Blue,36,5,1,3,11398.1,1927,9948.4,0.635,1442,33,0.88,0.163
0,37,M,3,College,Married,$40K - $60K,Blue,36,3,3,0,8886.2,1649,7197.5,1.455,1301,36,1.414,0.182
0,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29553.6,1393,27484.3,2.216,1535,36,0.692,0.047
0,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,1,3,1477.3,0,1438.3,1.03,1203,33,0.636,0.0
0,58,M,0,Graduate,Unknown,$80K - $120K,Blue,49,4,1,3,17971.1,1725,15846.8,0.878,1538,33,0.658,0.096
1,48,F,3,Graduate,Married,Less than $40K,Blue,36,2,3,4,1467.2,0,1471.7,0.477,631,17,0.385,0.0
0,42,M,1,Graduate,Married,$40K - $60K,Blue,36,4,2,2,4039.0,1465,2519.2,0.855,1084,36,0.85,0.357
0,55,F,3,Graduate,Married,Less than $40K,Blue,36,3,3,4,1438.3,0,1448.3,0.631,1059,18,0.358,0.0
0,50,M,1,High School,Married,$40K - $60K,Blue,36,3,2,3,4039.0,1359,2652.5,0.941,1013,21,0.731,0.342
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3414.9,2517,1438.3,1.44,1166,15,2.412,0.749
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8250.1,865,7403.4,1.544,1289,36,3.729,0.102
0,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4135.5,1249,2692.1,1.381,1093,20,0.874,0.31
0,57,F,2,Graduate,Single,Less than $40K,Blue,36,6,2,2,2308.4,677,1791.0,1.175,1307,38,1.046,0.277
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3367.5,2517,1438.3,1.396,1166,16,2.418,0.762
0,57,F,2,Graduate,Single,Less than $40K,Blue,36,6,2,2,2440.2,679,1701.3,1.205,1316,34,1.078,0.277
1,57,F,3,High School,Single,Less than $40K,Blue,48,3,3,4,1438.3,0,1438.3,0.499,685,10,0.404,0.0
0,48,M,3,High School,Married,$60K - $80K,Blue,36,5,1,2,12714.3,1733,11291.0,0.92,1146,42,1.633,0.135
0,41,M,3,Uneducated,Married,$80K - $120K,Blue,36,4,4,1,4107.0,1670,2652.3,1.533,1537,27,0.559,0.388
0,43,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,1438.3,974,1438.3,1.765,1063,27,0.361,0.685
0,37,M,3,College,Married,$40K - $60K,Blue,36,3,3,0,9169.0,1650,7404.9,1.476,1296,35,1.433,0.178
0,40,M,3,College,Married,$60K - $80K,Blue,36,4,1,1,18932.5,5,18270.7,1.159,1785,31,0.735,0.0
0,50,M,4,Graduate,Married,$80K - $120K,Blue,36,4,2,2,30052.2,1682,29881.6,1.454,1667,32,0.908,0.053
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2390.7,1220,1438.3,0.843,1065,32,0.914,0.515
0,47,F,4,High School,Single,Less than $40K,Blue,36,3,3,2,2467.0,1564,1438.3,0.559,1121,28,0.355,0.623
0,54,M,1,Doctorate,Married,$60K - $80K,Blue,40,2,3,3,8703.5,1408,7290.2,1.34,1308,36,1.355,0.167
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,3,0,22499.0,0,22458.7,1.119,882,22,0.745,0.0
0,49,M,2,Graduate,Married,$40K - $60K,Blue,41,3,2,0,2919.7,2440,1438.3,1.025,1180,24,1.048,0.845
0,47,M,2,Graduate,Married,$60K - $80K,Blue,42,5,2,0,2461.0,680,1749.1,1.225,1314,36,1.065,0.277
0,43,M,2,Graduate,Married,$60K - $80K,Blue,36,4,2,0,6761.1,1408,5336.3,1.363,1201,40,0.655,0.203
1,48,F,3,Graduate,Married,Less than $40K,Blue,36,2,3,4,1466.2,0,1438.3,0.481,630,10,0.391,0.0
0,48,F,2,Graduate,Married,Less than $40K,Blue,36,5,2,2,2457.0,1556,1438.3,0.863,1440,29,0.88,0.625
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2414.1,1217,1438.3,0.833,1070,23,0.925,0.504
1,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7820.2,608,7383.6,1.074,602,11,0.491,0.079
0,45,M,3,College,Married,$60K - $80K,Blue,36,5,1,1,12319.5,1356,11317.7,0.922,1148,36,1.667,0.105
0,52,M,3,Graduate,Married,$60K - $80K,Blue,40,3,1,0,8597.6,1643,6910.9,1.478,1312,31,1.385,0.195
0,47,M,2,Graduate,Single,$80K - $120K,Blue,36,5,1,2,11840.5,2260,9140.5,1.979,1534,31,0.422,0.19
0,42,M,4,College,Married,$80K - $120K,Blue,31,3,3,2,8352.9,1936,6538.7,0.61,1200,20,0.915,0.23
0,47,F,4,High School,Single,Less than $40K,Blue,36,3,3,2,2480.3,1561,1438.3,0.582,1127,25,0.357,0.627
1,51,F,3,High School,Single,Less than $40K,Blue,36,6,3,3,2438.9,0,2560.1,1.049,933,18,0.493,0.0
0,49,M,3,Graduate,Married,$80K - $120K,Blue,36,5,1,3,11557.9,1679,9401.0,1.497,1444,31,0.897,0.142
1,58,F,2,High School,Single,Less than $40K,Blue,48,3,3,4,1438.3,0,1498.4,0.479,681,10,0.413,0.0
0,45,M,2,Graduate,Single,$80K - $120K,Blue,37,6,1,2,9770.7,1214,8686.7,0.871,1101,30,1.157,0.125
0,44,F,3,Uneducated,Single,Less than $40K,Blue,34,5,2,2,10067.4,0,10323.9,0.513,1052,15,1.548,0.0
0,47,M,2,Graduate,Married,$60K - $80K,Blue,42,5,2,0,2455.7,676,1719.5,1.229,1316,28,1.07,0.28
0,38,F,4,High School,Single,Less than $40K,Blue,28,2,3,3,2521.7,1577,1438.3,0.753,1072,22,0.893,0.646
0,51,M,2,College,Married,$80K - $120K,Blue,40,4,2,3,8665.2,1669,6819.2,1.567,1263,29,0.618,0.198
0,49,M,3,Graduate,Married,$80K - $120K,Blue,36,5,1,3,11716.0,1675,9854.5,1.514,1438,28,0.89,0.143
0,49,M,3,College,Married,$80K - $120K,Blue,36,5,1,3,11638.6,1934,10097.3,0.638,1437,29,0.849,0.167
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,3,0,21494.2,0,22266.8,1.11,880,24,0.71,0.0
1,55,M,2,Graduate,Married,$60K - $80K,Blue,46,2,3,3,2191.8,0,2202.5,0.4,652,12,0.331,0.0
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12706.3,777,12121.3,1.336,1144,40,1.615,0.063
0,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,30513.7,1400,27959.5,2.16,1541,39,0.697,0.047
1,55,M,2,Graduate,Married,$60K - $80K,Blue,46,2,3,3,2184.6,0,2199.6,0.407,649,11,0.336,0.0
0,48,M,3,High School,Married,$60K - $80K,Blue,36,5,1,2,12767.5,1733,11042.0,0.914,1140,36,1.633,0.135
0,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6743.3,1462,5534.8,0.827,1203,38,0.677,0.216
0,42,M,1,Graduate,Married,$40K - $60K,Blue,36,4,2,2,3916.3,1469,2540.1,0.814,1091,32,0.833,0.352
0,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29745.7,1393,27796.3,2.091,1542,40,0.729,0.048
0,58,M,0,Graduate,Unknown,$80K - $120K,Blue,49,4,1,3,18267.7,1729,16609.8,0.919,1537,32,0.657,0.094
0,58,M,0,Graduate,Unknown,$80K - $120K,Blue,49,4,1,3,18281.7,1726,16627.7,0.968,1539,37,0.63,0.095
0,41,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,2,8477.9,0,8840.0,2.26,1270,26,0.604,0.0
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4848.3,0,4776.2,2.174,820,31,2.525,0.0
0,45,M,2,Graduate,Single,$80K - $120K,Blue,37,6,1,2,9651.6,1218,8511.9,0.848,1107,37,1.125,0.124
0,63,M,1,High School,Married,$60K - $80K,Blue,56,3,3,2,3249.7,1916,1438.3,0.865,1013,29,0.577,0.602
0,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2267,31512.6,1.997,1329,33,0.733,0.065
1,52,F,2,Graduate,Married,Less than $40K,Blue,44,3,3,3,1438.3,0,1447.0,0.445,645,17,0.385,0.0
0,43,M,2,Graduate,Married,$60K - $80K,Blue,36,4,2,0,6671.6,1405,5263.4,1.384,1206,36,0.698,0.215
0,57,M,2,Post-Graduate,Married,$40K - $60K,Blue,48,5,2,0,9469.8,0,9438.9,1.16,1119,27,0.534,0.0
0,40,M,3,College,Married,$60K - $80K,Blue,36,4,1,1,18203.8,0,18509.9,1.21,1779,32,0.759,0.0
0,41,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,2,8367.2,0,8690.5,2.245,1266,34,0.61,0.0
0,49,M,2,Graduate,Married,$40K - $60K,Blue,41,3,2,0,2955.0,2434,1438.3,1.034,1181,20,1.09,0.826
0,41,M,3,High School,Single,$80K - $120K,Blue,28,4,1,1,4179.3,1,4407.8,2.501,1528,19,0.804,0.0
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2453.0,1219,1438.3,0.862,1072,27,0.944,0.515
1,55,M,2,Graduate,Married,$60K - $80K,Blue,46,2,3,3,2152.7,0,2182.3,0.398,650,17,0.333,0.0
0,55,F,1,Graduate,Married,Unknown,Blue,36,2,3,4,15242.3,2044,12984.6,1.425,1184,21,1.135,0.137
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1472.5,1.049,694,13,0.611,0.0
0,37,M,3,College,Married,$40K - $60K,Blue,36,3,3,0,9045.4,1644,7273.9,1.503,1306,36,1.4,0.182
0,41,M,2,Graduate,Single,$80K - $120K,Blue,36,4,2,3,4346.6,1673,2639.2,1.509,1534,29,0.567,0.397
0,46,M,2,Graduate,Married,$60K - $80K,Blue,36,4,1,2,9218.3,1399,8159.8,1.314,1308,35,1.35,0.149
0,58,M,0,Graduate,Unknown,$80K - $120K,Blue,49,4,1,3,18078.9,1726,16171.2,0.926,1540,32,0.647,0.097
0,51,M,2,College,Married,$80K - $120K,Blue,40,4,2,3,8860.7,1666,7157.7,1.549,1264,27,0.585,0.199
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.051,688,20,0.599,0.0
0,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,1,3,1443.6,0,1441.9,1.047,1198,26,0.624,0.0
1,48,F,3,Graduate,Married,Less than $40K,Blue,36,2,3,4,1445.8,0,1438.3,0.476,635,11,0.388,0.0
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3471.4,0,3419.1,2.671,1887,25,2.355,0.0
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12377.0,779,11652.8,1.292,1146,40,1.602,0.061
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4591.5,3,4580.2,2.139,811,32,2.464,0.0
0,43,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,1453.3,973,1438.3,1.761,1064,30,0.352,0.669
0,54,M,1,Doctorate,Married,$60K - $80K,Blue,40,2,3,3,8597.8,1405,7022.0,1.31,1311,30,1.333,0.165
0,59,M,1,High School,Single,$60K - $80K,Blue,46,4,1,4,7466.2,2263,5068.5,2.015,1258,22,0.871,0.304
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,3,0,22506.9,0,21389.3,1.159,876,22,0.722,0.0
0,46,F,2,High School,Married,Less than $40K,Blue,36,4,2,2,2402.9,1690,1438.3,1.322,1313,33,1.0,0.695
0,47,M,2,Graduate,Married,$60K - $80K,Blue,42,5,2,0,2447.3,685,1709.5,1.195,1316,28,1.054,0.275
0,43,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,1446.7,969,1438.3,1.721,1054,27,0.346,0.689
0,48,M,3,Graduate,Married,$60K - $80K,Blue,36,5,3,4,2991.6,0,3096.3,1.832,1457,20,0.967,0.0
0,39,M,2,Graduate,Single,$80K - $120K,Blue,36,5,1,2,10300.5,2363,7463.8,1.695,1106,34,1.105,0.241
1,54,F,3,Uneducated,Married,Unknown,Blue,42,5,1,2,1451.9,0,1503.1,0.989,707,16,0.902,0.0
0,48,M,3,High School,Married,$60K - $80K,Blue,36,5,1,2,12388.6,1724,11177.2,0.947,1145,43,1.668,0.134
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3356.5,2517,1438.3,1.421,1171,23,2.348,0.761
0,48,F,2,Graduate,Divorced,Less than $40K,Blue,40,5,3,3,1438.3,0,1438.3,0.658,1059,16,0.659,0.0
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3365.2,2517,1438.3,1.412,1168,20,2.354,0.767
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3389.8,2517,1438.3,1.419,1176,15,2.312,0.756
0,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,33949.5,2262,31190.7,2.02,1330,32,0.712,0.064
0,41,M,3,High School,Single,$80K - $120K,Blue,28,4,1,1,4352.3,0,4357.3,2.546,1522,19,0.814,0.0
0,47,M,2,Graduate,Married,$60K - $80K,Blue,42,5,2,0,2456.1,675,1841.7,1.166,1308,34,1.025,0.283
0,45,F,2,Graduate,Single,Less than $40K,Blue,36,4,3,3,1461.9,0,1478.1,0.691,1334,15,0.695,0.0
0,44,F,3,Uneducated,Single,Less than $40K,Blue,34,5,2,2,10483.2,0,10213.9,0.512,1047,21,1.576,0.0
0,55,F,3,Graduate,Married,Less than $40K,Blue,36,3,3,4,1438.3,0,1455.4,0.617,1064,22,0.352,0.0
0,48,M,3,College,Single,$80K - $120K,Blue,36,4,3,3,11601.4,0,11980.0,0.758,1543,14,0.414,0.0
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,2,1,2407.4,1687,1438.3,1.347,1593,28,0.841,0.669
0,49,M,3,College,Married,$80K - $120K,Blue,36,5,1,3,11465.8,1926,9779.7,0.629,1439,32,0.893,0.165
0,46,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,2,9436.4,1402,8063.8,1.345,1307,29,1.321,0.148
0,41,M,2,Graduate,Single,$80K - $120K,Blue,36,4,2,3,4306.2,1666,2604.7,1.552,1541,22,0.571,0.382
0,63,M,1,High School,Married,$60K - $80K,Blue,56,3,3,2,3229.8,1916,1438.3,0.851,1015,32,0.567,0.596
0,47,M,3,Uneducated,Married,$60K - $80K,Blue,36,5,2,1,4794.0,1392,3301.4,2.296,1093,28,0.833,0.299
0,48,M,3,Graduate,Married,$60K - $80K,Blue,36,5,3,4,3035.8,0,2932.2,1.795,1452,17,0.971,0.0
0,38,F,4,High School,Single,Less than $40K,Blue,28,2,3,3,2500.6,1578,1438.3,0.77,1065,27,0.908,0.654
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2417.1,1221,1438.3,0.886,1068,28,0.935,0.52
0,50,M,3,Graduate,Married,$80K - $120K,Blue,36,3,1,1,12419.8,1672,9879.0,1.524,1543,22,0.939,0.141
0,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4060.2,1245,2772.9,1.371,1093,27,0.863,0.313
0,63,M,1,High School,Married,$60K - $80K,Blue,56,3,3,2,3156.9,1919,1438.3,0.859,1010,27,0.585,0.592
0,63,M,1,High School,Married,$60K - $80K,Blue,56,3,3,2,3143.2,1920,1438.3,0.862,1010,29,0.566,0.588
0,37,M,3,College,Married,$40K - $60K,Blue,36,3,3,0,9191.8,1648,7222.8,1.498,1306,35,1.42,0.179
0,44,F,3,Graduate,Single,Less than $40K,Blue,36,4,2,2,3298.2,1923,1438.3,0.827,1174,31,2.297,0.574
0,44,M,3,Graduate,Married,$40K - $60K,Blue,36,3,3,0,4855.4,0,4877.1,1.556,1083,15,0.513,0.0
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2453.0,1214,1438.3,0.828,1065,26,0.895,0.526
0,41,F,3,High School,Single,Less than $40K,Blue,33,3,2,1,1438.3,973,1438.3,1.756,1058,31,0.359,0.666
0,42,M,3,Graduate,Married,$40K - $60K,Blue,36,3,1,2,3942.1,1244,2793.4,1.364,1083,25,0.861,0.308
0,49,M,3,Graduate,Married,$80K - $120K,Blue,36,5,1,3,11302.9,1677,9785.7,1.542,1443,34,0.914,0.144
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2408.3,1221,1438.3,0.825,1069,24,0.909,0.506
0,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11855.6,1678,9712.8,1.538,1441,35,0.895,0.145
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12745.3,781,11770.7,1.389,1143,43,1.699,0.063
0,59,M,1,High School,Single,$60K - $80K,Blue,46,4,1,4,7243.9,2258,5204.1,1.967,1264,28,0.846,0.289
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2438.4,1222,1438.3,0.855,1064,28,0.889,0.478
0,39,M,2,Graduate,Single,$80K - $120K,Blue,36,5,1,2,10006.5,2365,7634.7,1.685,1102,32,1.09,0.236
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3357.6,0,3416.7,2.616,1883,23,2.366,0.0
0,40,F,2,Graduate,Single,Less than $40K,Blue,31,5,2,2,2499.7,1462,1438.3,0.831,1125,28,0.34,0.571
0,43,M,2,Graduate,Married,$60K - $80K,Blue,36,4,2,0,6755.9,1399,5367.9,1.337,1198,41,0.675,0.195
0,59,M,1,High School,Single,$60K - $80K,Blue,46,4,1,4,7259.2,2260,5312.1,2.042,1259,31,0.864,0.307
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,3,0,22511.9,0,22408.0,1.162,880,18,0.73,0.0
0,36,F,3,Graduate,Single,Less than $40K,Blue,24,4,1,3,2457.3,1220,1438.3,0.849,1069,31,0.925,0.491
0,55,F,1,Graduate,Married,Unknown,Blue,36,2,3,4,15104.2,2042,12770.2,1.463,1180,12,1.13,0.135
0,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11901.7,1673,10087.4,1.485,1439,30,0.905,0.141
1,54,F,3,Uneducated,Married,Unknown,Blue,42,5,1,2,1438.3,0,1439.7,0.976,710,20,0.883,0.0
0,37,M,3,College,Married,$40K - $60K,Blue,36,3,3,0,8933.2,1644,7463.1,1.472,1302,39,1.41,0.179
0,47,F,4,High School,Single,Less than $40K,Blue,36,3,3,2,2517.7,1561,1438.3,0.59,1121,26,0.348,0.632
0,46,F,2,High School,Married,Less than $40K,Blue,36,4,2,2,2461.0,1694,1438.3,1.33,1307,35,1.08,0.654
0,46,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,2,9548.4,1406,7821.3,1.346,1315,37,1.381,0.146
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,2,1,2639.9,1690,1438.3,1.321,1597,26,0.865,0.674
